external_id,R,F_recent,M,RFM_total,segment,F_count,M_amount,_segment_truth
u_002210,4,4,3,11,Loyal,4,315064.0,Loyal
u_009546,1,1,1,3,Lost,0,0.0,Lost
u_001389,4,4,4,12,Champion,5,630402.0,Loyal
u_001078,3,4,3,10,Loyal,5,322342.0,Loyal
u_012420,2,1,1,4,At-Risk,0,0.0,Potential
u_007497,1,1,1,3,Lost,0,0.0,Lost
u_012800,3,3,3,9,Potential,2,289591.0,Potential
u_000429,4,4,5,13,Champion,9,1610253.0,Champion
u_007774,1,1,1,3,Lost,0,0.0,Lost
u_011461,5,2,1,8,Potential,1,37523.0,New
u_007790,1,1,1,3,Lost,0,0.0,Lost
u_011186,5,2,1,8,Potential,1,35657.0,New
u_010477,1,1,1,3,Lost,0,0.0,Lost
u_013807,3,3,3,9,Potential,3,368808.0,Potential
u_006714,1,1,1,3,Lost,0,0.0,Lost
u_002936,2,1,1,4,At-Risk,0,0.0,At-Risk
u_004521,2,1,1,4,At-Risk,0,0.0,Hibernating
u_006349,1,1,1,3,Lost,0,0.0,Lost
u_011412,5,2,1,8,Potential,1,96910.0,New
u_004595,2,1,1,4,At-Risk,0,0.0,Hibernating
u_006283,1,1,1,3,Lost,0,0.0,Lost
u_010704,5,2,2,9,Potential,1,149283.0,New
u_002551,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010221,1,1,1,3,Lost,0,0.0,Lost
u_007001,1,1,1,3,Lost,0,0.0,Lost
u_011081,1,1,1,3,New,0,0.0,New
u_004342,2,1,1,4,At-Risk,0,0.0,At-Risk
u_006448,1,1,1,3,Lost,0,0.0,Lost
u_008809,1,1,1,3,Lost,0,0.0,Lost
u_009146,1,1,1,3,Lost,0,0.0,Lost
u_004930,2,1,1,4,At-Risk,0,0.0,Hibernating
u_006963,1,1,1,3,Lost,0,0.0,Lost
u_001112,3,4,4,11,Loyal,7,687504.0,Loyal
u_010296,1,1,1,3,Lost,0,0.0,Lost
u_008637,1,1,1,3,Lost,0,0.0,Lost
u_007461,1,1,1,3,Lost,0,0.0,Lost
u_000369,4,5,5,14,Champion,10,2095836.0,Champion
u_000933,3,5,5,13,Loyal,10,1125204.0,Loyal
u_001072,3,4,5,12,Loyal,9,1043357.0,Loyal
u_004552,2,1,1,4,At-Risk,0,0.0,Hibernating
u_001905,4,4,4,12,Champion,6,743755.0,Loyal
u_010730,1,1,1,3,New,0,0.0,New
u_012476,3,3,3,9,Potential,3,312352.0,Potential
u_007684,1,1,1,3,Lost,0,0.0,Lost
u_008146,1,1,1,3,Lost,0,0.0,Lost
u_000995,4,4,4,12,Champion,9,987317.0,Loyal
u_011075,1,1,1,3,New,0,0.0,New
u_011330,1,1,1,3,New,0,0.0,New
u_004430,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011098,5,2,1,8,Potential,1,86982.0,New
u_006033,1,1,1,3,Lost,0,0.0,Lost
u_001384,4,4,3,11,Loyal,6,344624.0,Loyal
u_014959,4,3,3,10,Potential,3,256702.0,Potential
u_000222,5,4,5,14,Champion,9,1835976.0,Champion
u_002420,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011280,5,2,1,8,Potential,1,29932.0,New
u_006981,1,1,1,3,Lost,0,0.0,Lost
u_000427,4,5,5,14,Champion,10,1542977.0,Champion
u_010843,1,1,1,3,New,0,0.0,New
u_001003,3,4,3,10,Loyal,4,483094.0,Loyal
u_010683,1,1,1,3,New,0,0.0,New
u_002315,2,1,1,4,At-Risk,0,0.0,At-Risk
u_013691,3,2,2,7,Potential,1,110710.0,Potential
u_003210,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011216,5,2,1,8,Potential,1,32630.0,New
u_009601,1,1,1,3,Lost,0,0.0,Lost
u_002798,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003017,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014999,3,3,3,9,Potential,3,395392.0,Potential
u_011740,2,1,1,4,At-Risk,0,0.0,Potential
u_013768,2,1,1,4,At-Risk,0,0.0,Potential
u_001888,3,4,4,11,Loyal,4,850991.0,Loyal
u_012774,3,2,1,6,Potential,1,74170.0,Potential
u_013982,2,1,1,4,At-Risk,0,0.0,Potential
u_004861,2,1,1,4,At-Risk,0,0.0,Hibernating
u_012115,3,2,1,6,Potential,1,56072.0,Potential
u_005294,2,1,1,4,At-Risk,0,0.0,Hibernating
u_002297,2,1,1,4,At-Risk,0,0.0,At-Risk
u_000537,5,4,5,14,Champion,7,1223766.0,Champion
u_010349,1,1,1,3,Lost,0,0.0,Lost
u_010774,1,1,1,3,New,0,0.0,New
u_009694,1,1,1,3,Lost,0,0.0,Lost
u_014375,2,1,1,4,At-Risk,0,0.0,Potential
u_001431,3,4,4,11,Loyal,7,979502.0,Loyal
u_013399,4,2,2,8,Potential,1,103540.0,Potential
u_003946,2,1,1,4,At-Risk,0,0.0,At-Risk
u_008331,1,1,1,3,Lost,0,0.0,Lost
u_008805,1,1,1,3,Lost,0,0.0,Lost
u_010032,1,1,1,3,Lost,0,0.0,Lost
u_003609,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011594,5,2,1,8,Potential,1,49469.0,New
u_012815,4,2,1,7,Potential,1,93854.0,Potential
u_009713,1,1,1,3,Lost,0,0.0,Lost
u_007305,1,1,1,3,Lost,0,0.0,Lost
u_003802,2,1,1,4,At-Risk,0,0.0,At-Risk
u_012966,4,3,3,10,Potential,3,304015.0,Potential
u_007467,1,1,1,3,Lost,0,0.0,Lost
u_000206,5,4,5,14,Champion,5,1427594.0,Champion
u_000893,4,4,4,12,Champion,8,868427.0,Loyal
u_009980,1,1,1,3,Lost,0,0.0,Lost
u_012199,2,1,1,4,At-Risk,0,0.0,Potential
u_008057,1,1,1,3,Lost,0,0.0,Lost
u_011803,2,1,1,4,At-Risk,0,0.0,Potential
u_013107,4,3,2,9,Potential,2,181966.0,Potential
u_008460,1,1,1,3,Lost,0,0.0,Lost
u_012372,3,3,3,9,Potential,2,324059.0,Potential
u_006144,1,1,1,3,Lost,0,0.0,Lost
u_007294,1,1,1,3,Lost,0,0.0,Lost
u_013200,2,1,1,4,At-Risk,0,0.0,Potential
u_006528,1,1,1,3,Lost,0,0.0,Lost
u_011273,1,1,1,3,New,0,0.0,New
u_002571,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014120,4,3,2,9,Potential,3,131329.0,Potential
u_003008,2,1,1,4,At-Risk,0,0.0,At-Risk
u_005182,2,1,1,4,At-Risk,0,0.0,Hibernating
u_010831,5,2,1,8,Potential,1,35273.0,New
u_000878,3,4,4,11,Loyal,5,778790.0,Loyal
u_006742,1,1,1,3,Lost,0,0.0,Lost
u_013454,3,3,2,8,Potential,3,189408.0,Potential
u_001923,4,4,4,12,Champion,6,674076.0,Loyal
u_008698,1,1,1,3,Lost,0,0.0,Lost
u_000572,5,4,5,14,Champion,9,1953530.0,Champion
u_012292,4,3,3,10,Potential,3,447423.0,Potential
u_013776,4,2,1,7,Potential,1,48576.0,Potential
u_001450,4,5,5,14,Champion,10,1563430.0,Loyal
u_004727,2,1,1,4,At-Risk,0,0.0,Hibernating
u_008707,1,1,1,3,Lost,0,0.0,Lost
u_006019,1,1,1,3,Lost,0,0.0,Lost
u_008190,1,1,1,3,Lost,0,0.0,Lost
u_013598,4,3,2,9,Potential,2,119337.0,Potential
u_001568,3,4,5,12,Loyal,7,1162270.0,Loyal
u_004657,2,1,1,4,At-Risk,0,0.0,Hibernating
u_011285,1,1,1,3,New,0,0.0,New
u_001176,4,4,3,11,Loyal,4,407407.0,Loyal
u_000130,4,5,5,14,Champion,11,2608178.0,Champion
u_014578,4,3,3,10,Potential,2,408210.0,Potential
u_012395,2,1,1,4,At-Risk,0,0.0,Potential
u_012763,2,1,1,4,At-Risk,0,0.0,Potential
u_004700,2,1,1,4,At-Risk,0,0.0,Hibernating
u_008158,1,1,1,3,Lost,0,0.0,Lost
u_006802,1,1,1,3,Lost,0,0.0,Lost
u_009139,1,1,1,3,Lost,0,0.0,Lost
u_002642,2,1,1,4,At-Risk,0,0.0,At-Risk
u_004770,2,1,1,4,At-Risk,0,0.0,Hibernating
u_001998,3,4,4,11,Loyal,6,960272.0,Loyal
u_006505,1,1,1,3,Lost,0,0.0,Lost
u_003179,2,1,1,4,At-Risk,0,0.0,At-Risk
u_008083,1,1,1,3,Lost,0,0.0,Lost
u_002550,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011274,1,1,1,3,New,0,0.0,New
u_000629,5,5,5,15,Champion,10,1692052.0,Champion
u_010504,1,1,1,3,New,0,0.0,New
u_012715,2,1,1,4,At-Risk,0,0.0,Potential
u_000725,5,4,5,14,Champion,6,1338023.0,Champion
u_004327,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014469,3,3,3,9,Potential,3,263036.0,Potential
u_013773,2,1,1,4,At-Risk,0,0.0,Potential
u_011104,5,2,1,8,Potential,1,72386.0,New
u_012801,4,3,2,9,Potential,2,236952.0,Potential
u_000948,4,4,3,11,Loyal,5,279485.0,Loyal
u_011160,1,1,1,3,New,0,0.0,New
u_014415,3,3,2,8,Potential,2,140218.0,Potential
u_003872,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009793,1,1,1,3,Lost,0,0.0,Lost
u_000690,5,4,5,14,Champion,9,1796388.0,Champion
u_011194,5,2,1,8,Potential,1,16650.0,New
u_010996,1,1,1,3,New,0,0.0,New
u_001595,3,4,4,11,Loyal,6,701299.0,Loyal
u_001878,4,4,4,12,Champion,7,929673.0,Loyal
u_001254,3,5,4,12,Loyal,10,578528.0,Loyal
u_005881,2,1,1,4,At-Risk,0,0.0,Hibernating
u_014614,3,3,3,9,Potential,3,341712.0,Potential
u_007476,1,1,1,3,Lost,0,0.0,Lost
u_011002,1,1,1,3,New,0,0.0,New
u_013894,2,1,1,4,At-Risk,0,0.0,Potential
u_008222,1,1,1,3,Lost,0,0.0,Lost
u_014763,2,1,1,4,At-Risk,0,0.0,Potential
u_013005,2,1,1,4,At-Risk,0,0.0,Potential
u_014064,3,3,3,9,Potential,2,271012.0,Potential
u_002117,4,4,3,11,Loyal,4,265662.0,Loyal
u_011578,5,2,1,8,Potential,1,36779.0,New
u_014360,3,3,2,8,Potential,3,205182.0,Potential
u_014906,3,3,2,8,Potential,2,114040.0,Potential
u_014946,4,3,3,10,Potential,3,408793.0,Potential
u_007331,1,1,1,3,Lost,0,0.0,Lost
u_002667,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009497,1,1,1,3,Lost,0,0.0,Lost
u_001679,4,5,4,13,Champion,10,690486.0,Loyal
u_004326,2,1,1,4,At-Risk,0,0.0,At-Risk
u_008026,1,1,1,3,Lost,0,0.0,Lost
u_009435,1,1,1,3,Lost,0,0.0,Lost
u_008722,1,1,1,3,Lost,0,0.0,Lost
u_003294,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010249,1,1,1,3,Lost,0,0.0,Lost
u_013634,4,2,2,8,Potential,1,104323.0,Potential
u_002397,2,1,1,4,At-Risk,0,0.0,At-Risk
u_002871,2,1,1,4,At-Risk,0,0.0,At-Risk
u_005990,2,1,1,4,At-Risk,0,0.0,Hibernating
u_001226,4,4,4,12,Champion,4,647331.0,Loyal
u_009336,1,1,1,3,Lost,0,0.0,Lost
u_012402,2,1,1,4,At-Risk,0,0.0,Potential
u_002274,2,1,1,4,At-Risk,0,0.0,At-Risk
u_013134,3,3,2,8,Potential,2,195721.0,Potential
u_001018,3,4,5,12,Loyal,7,1115886.0,Loyal
u_002119,5,4,4,13,Champion,9,870435.0,Loyal
u_010002,1,1,1,3,Lost,0,0.0,Lost
u_008229,1,1,1,3,Lost,0,0.0,Lost
u_009960,1,1,1,3,Lost,0,0.0,Lost
u_014602,3,3,3,9,Potential,2,240930.0,Potential
u_011049,1,1,1,3,New,0,0.0,New
u_003696,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010716,1,1,1,3,New,0,0.0,New
u_004692,2,1,1,4,At-Risk,0,0.0,Hibernating
u_013861,3,3,2,8,Potential,2,112805.0,Potential
u_009671,1,1,1,3,Lost,0,0.0,Lost
u_005785,2,1,1,4,At-Risk,0,0.0,Hibernating
u_000654,5,4,3,12,Loyal,8,562898.0,Champion
u_007756,1,1,1,3,Lost,0,0.0,Lost
u_007350,1,1,1,3,Lost,0,0.0,Lost
u_004086,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010428,1,1,1,3,Lost,0,0.0,Lost
u_010030,1,1,1,3,Lost,0,0.0,Lost
u_014182,3,3,2,8,Potential,2,235972.0,Potential
u_009153,1,1,1,3,Lost,0,0.0,Lost
u_004400,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003499,2,1,1,4,At-Risk,0,0.0,At-Risk
u_008596,1,1,1,3,Lost,0,0.0,Lost
