일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,886,82,27,1625120
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,918,85,36,1971981
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,961,108,32,1751998
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,966,117,53,3329753
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,963,103,31,1580222
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,960,129,44,3203459
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1393,187,46,3292233
2025-01-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,903,92,36,2314500
2025-01-25,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,832,102,75,4286231
2025-01-25,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,1215,134,92,4303046
2025-01-25,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,797,64,35,2010776
2025-01-25,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,967,61,42,2993471
2025-01-25,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,970,106,58,3350025
2025-01-25,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,735,73,33,2489199
2025-01-25,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,851,88,39,2617174
2025-01-25,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,953,93,47,3032796
2025-01-25,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1251,64,39,2894262
2025-01-25,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,317,14,4,199023
2025-01-25,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,390,32,10,571916
2025-01-25,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,393,21,5,239119
2025-01-25,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,547,28,6,386143
2025-01-25,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,776,31,10,579666
2025-01-25,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,524,25,9,702461
2025-01-25,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,201,8,3,251035
2025-01-25,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,233,9,6,479333
2025-01-25,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,269,13,9,719342
2025-01-25,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,391,23,16,1328311
2025-01-25,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,207,10,7,404104
2025-01-25,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,199,10,6,335263
2025-01-25,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,528,105,93,8140129
2025-01-25,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,487,76,52,2532507
2025-01-25,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,483,63,44,2958952
2025-01-25,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,190,22,23,3068700
2025-01-25,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,202,11,9,922237
2025-01-25,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,208,17,14,1424061
2025-01-25,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,284,15,10,888097
2025-01-25,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,398,48,48,6791332
2025-01-25,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,229,24,17,1730652
