일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_봄_A_v1,41901,1209,230901,104,29,1565684
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_봄_B_v1,45525,1425,277391,168,46,2848191
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_봄_v1,60580,2136,341129,300,92,5207982
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_봄_v2,49741,1099,320786,102,31,1983830
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_봄_A_v1,51903,1488,295236,186,55,3043051
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_봄_B_v1,45207,1610,281354,204,50,2286868
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_봄_v1,42077,1307,261889,124,43,2450597
2025-03-19,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_봄_v2,40039,933,221993,80,23,1487522
2025-03-19,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_봄_A_v1,41696,1218,186818,155,82,5200709
2025-03-19,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_봄_B_v1,28472,789,168826,81,41,2413780
2025-03-19,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_봄_v1,24273,836,122095,109,58,3181973
2025-03-19,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_봄_A_v1,41463,1097,197047,75,37,2094616
2025-03-19,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_봄_B_v1,44896,1010,210617,71,22,1713641
2025-03-19,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_봄_v1,66390,1549,431168,118,36,2751255
2025-03-19,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_봄_A_v1,63544,2064,344102,216,72,5141382
2025-03-19,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_봄_B_v1,43339,854,235026,88,31,1617754
2025-03-19,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_봄_v1,70953,1307,436845,141,67,4052365
2025-03-19,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_봄_A_v1,41812,567,210234,30,6,267437
2025-03-19,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_봄_B_v1,32923,625,157904,36,8,325809
2025-03-19,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_봄_v1,47480,918,218029,72,11,537519
2025-03-19,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_봄_A_v1,30257,624,102230,39,8,453439
2025-03-19,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_봄_B_v1,34705,542,139850,48,8,376329
2025-03-19,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_봄_v1,34921,478,148062,41,11,621123
2025-03-19,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,11735,194,58696,11,4,328493
2025-03-19,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,11599,298,49483,13,6,354280
2025-03-19,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,12224,311,61420,18,9,593508
2025-03-19,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,17388,480,59534,28,14,1038261
2025-03-19,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,17361,453,59000,20,10,663307
2025-03-19,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,24520,636,112355,27,9,615659
2025-03-19,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_봄_A_v1,10444,1328,82140,412,215,15183765
2025-03-19,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_봄_A_v1,10684,896,80630,149,70,3474104
2025-03-19,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_봄_B_v1,10096,623,76002,112,36,2541137
2025-03-19,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,5736,358,53541,30,17,1595774
2025-03-19,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,5926,319,39339,22,15,1061983
2025-03-19,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,6393,366,45089,38,22,2237005
2025-03-19,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,10187,712,70739,77,46,4202406
2025-03-19,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,8413,579,69465,40,19,1771830
2025-03-19,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,7422,527,51164,44,38,3376364
